***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 13,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,1600,,,,,,Start Wavelength (nm):,1600,,,,,,,
End Wavelength (nm):,2400,,,,,,End Wavelength (nm):,2400,,,,,,,
Pattern Width (nm):,9,,,,,,Pattern Width (nm):,9,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,30,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,32,(FixedPGA),,,,,PGA Gain:,32,(FixedPGA),,,,,,
System Temp (C):,34.89,,,,,,System Temp (C):,34.64,,,,,,,
Humidity (%):,45.66,,,,,,Humidity (%):,45.87,,,,,,,
Lamp ADC:,No Built-In Lamp,,,,,,Lamp ADC:,No Built-In Lamp,,,,,,,
Data Date-Time:,2024/08/12T11:25:47,,,,,,Data Date-Time:,2024/08/12T11:21:46,,,,,,,
Total Measurement Time in sec:,8.8749076,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-F320,,,,,,Shift Vector Coefficients:,-13.16504,0.115654,-0.000253331,,,,,
Serial Number:,C11FP001,(95UB118G01VC11FP001),,,,,Pixel to Wavelength Coefficients:,2448.50639205426,-0.776432367151677,-0.000271852860897438,,,,,
GUI Version:,3.12.5,Revision:,718,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,5.1.1,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,10hr 22min 42sec ,,,,,,,
UUID:,DE:67:0C:88:67:70:83:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,O,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,N,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1600.78194280149,1.35653206985939,2634862,115938
1604.48382499761,1.34342426517415,2620274,118829
1609.41205604568,1.33234408648421,2595174,120732
1613.10252042165,1.32611073003523,2569634,121272
1618.0155277095,1.31478602923025,2528060,122462
1621.69457426531,1.30857403164552,2497041,122702
1626.59235779295,1.30146274797139,2457948,122775
1630.25998652861,1.29335617397297,2429844,123658
1633.92272191276,1.29050526094436,2402311,123062
1638.79875721153,1.2799886675162,2366711,124210
1642.45007477553,1.27611756831531,2339628,123888
1647.31088631409,1.27030799152912,2300396,123451
1650.95078605793,1.26517610371071,2269377,123234
1655.79637383629,1.25914236233654,2224754,122501
1659.42485575997,1.25524295701825,2189911,121670
1664.25521977811,1.25449389321868,2144973,119379
1667.87228388164,1.25035725866474,2112359,118689
1671.48445463367,1.24758322295155,2077547,117481
1676.29307042293,1.24572374700327,2030830,115332
1679.89382335481,1.24761539589744,1996684,112900
1684.68721538386,1.24366680288286,1950975,111323
1688.27655049558,1.2438856962968,1919608,109478
1693.05471876443,1.2448245938158,1880166,106997
1696.63263605598,1.24496226872663,1849632,105226
1701.39558056462,1.2482320494925,1806972,102028
1704.96208003602,1.24842202747727,1777925,100344
1708.52368615592,1.2544757622735,1750849,97448
1713.26488243569,1.25340320774789,1712997,95577
1716.81507073543,1.25968290130563,1686177,92730
1721.54104325499,1.25853842956399,1644851,90696
1725.07981373458,1.26553049306792,1614137,87581
1729.79056249392,1.26857232617508,1575408,84883
1733.31791515335,1.27500301053219,1544829,82012
1738.01344015249,1.28053911153711,1505295,78901
1741.52937499176,1.27853483249777,1476601,77755
1746.20967623068,1.2855490277193,1442165,74725
1749.7141932498,1.28734269290909,1420479,73298
1753.21381691742,1.28770133713199,1395391,71944
1757.87236992747,1.30690898785547,1361405,67155
1761.36057577493,1.30986263332255,1335752,65443
1766.00390502477,1.32019208502858,1300138,62201
1769.48069305208,1.32062523727752,1274884,60932
1774.10879854171,1.33581716510264,1241875,57314
1777.57416874885,1.33128674803965,1217880,56796
1782.18705047828,1.34038501047546,1187344,54224
1785.64100286526,1.34262752705114,1166330,52990
1789.09006190076,1.34428522724916,1144763,51812
1793.68119540131,1.33922436345099,1115864,51096
1797.11883661664,1.34180483726265,1092263,49719
1801.69474635698,1.33670924931107,1063086,48962
1805.12096975216,1.33865932028935,1042156,47783
1809.68165573229,1.33862875254052,1013208,46459
1813.0964613073,1.34043037362473,992389,45316
1817.64192352722,1.33736826872695,962823,44277
1821.04531128209,1.33277341721773,942319,43795
1824.44380568545,1.33562793974556,923994,42662
1828.9675196765,1.34064300498347,899845,41070
1832.3545962597,1.34303369803967,880556,39969
1836.86308649054,1.33683165797551,852433,39249
1840.23874525359,1.34606387026599,831946,37500
1844.73201172422,1.36187919182626,806431,35050
1848.09625266711,1.37069470579689,789908,33642
1852.57429537753,1.39607396101601,769860,30927
1855.92711850026,1.41003728000967,756044,29411
1859.2750482715,1.43155186551613,743605,27529
1863.73134275304,1.49047499135276,730015,23597
1867.06785470412,1.54604391977495,716412,20376
1871.50892542546,1.63758323035921,699585,16116
1874.83401955638,1.71374828199654,689208,13323
1879.25986651751,1.84571087334535,680800,9712
1882.57354282827,2.03453613243081,678247,6264
1886.98416602918,2.165665929663,671437,4585
1890.28642451979,2.51759434227124,665190,2020
1893.5837896589,2.59081714859659,657945,1688
1897.97266463095,2.78642357039959,648842,1061
1901.2586119499,2.74010955639972,641476,1167
1905.63226316173,3.18796666610211,638215,414
1908.90679266053,2.90883845846165,637989,787
1913.26522011215,NaN,637298,-122
1916.52833179079,2.89315786743242,639604,818
1920.8715354822,3.14911394223058,639985,454
1924.12322934068,2.96724015713752,641721,692
1928.45120927188,3.07294171095502,645854,546
1931.6914853102,2.8599801813259,649065,896
1934.92686799703,2.90213260864084,652959,818
1939.23309969936,3.81733725548158,656655,100
1942.45706456603,3.12014028715394,660660,501
1946.74807250815,3.1927035512053,667033,428
1949.96061955466,NaN,673262,-188
1954.23640373657,3.3634927866818,681263,295
1957.43753296292,3.92841481998025,686910,81
1961.69809338462,4.01617174945376,695419,67
1964.88780479081,3.07963819022264,702739,585
