***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 13,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,1600,,,,,,Start Wavelength (nm):,1600,,,,,,,
End Wavelength (nm):,2400,,,,,,End Wavelength (nm):,2400,,,,,,,
Pattern Width (nm):,9,,,,,,Pattern Width (nm):,9,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,30,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,32,(FixedPGA),,,,,PGA Gain:,32,(FixedPGA),,,,,,
System Temp (C):,34.95,,,,,,System Temp (C):,34.64,,,,,,,
Humidity (%):,45.61,,,,,,Humidity (%):,45.87,,,,,,,
Lamp ADC:,No Built-In Lamp,,,,,,Lamp ADC:,No Built-In Lamp,,,,,,,
Data Date-Time:,2024/08/12T11:25:59,,,,,,Data Date-Time:,2024/08/12T11:21:46,,,,,,,
Total Measurement Time in sec:,8.8791473,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-F320,,,,,,Shift Vector Coefficients:,-13.16504,0.115654,-0.000253331,,,,,
Serial Number:,C11FP001,(95UB118G01VC11FP001),,,,,Pixel to Wavelength Coefficients:,2448.50639205426,-0.776432367151677,-0.000271852860897438,,,,,
GUI Version:,3.12.5,Revision:,718,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,5.1.1,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,10hr 22min 49sec ,,,,,,,
UUID:,DE:67:0C:88:67:70:83:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,O,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,N,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1600.78194280149,1.35035424537447,2634862,117599
1604.48382499761,1.34127327739571,2620274,119419
1609.41205604568,1.32944367627148,2595174,121541
1613.10252042165,1.32224244975528,2569634,122357
1618.0155277095,1.31193702741741,2528060,123268
1621.69457426531,1.3038639157142,2497041,124040
1626.59235779295,1.30050166110946,2457948,123047
1630.25998652861,1.29182410868688,2429844,124095
1633.92272191276,1.28603233827876,2402311,124336
1638.79875721153,1.27946451592757,2366711,124360
1642.45007477553,1.27384143605209,2339628,124539
1647.31088631409,1.26511848262112,2300396,124935
1650.95078605793,1.26413069189454,2269377,123531
1655.79637383629,1.25570999604009,2224754,123473
1659.42485575997,1.25357210513625,2189911,122139
1664.25521977811,1.25109483521603,2144973,120317
1667.87228388164,1.24880856642952,2112359,119113
1671.48445463367,1.24551061920784,2077547,118043
1676.29307042293,1.244212606828,2030830,115734
1679.89382335481,1.24024262695187,1996684,114833
1684.68721538386,1.24282495781762,1950975,111539
1688.27655049558,1.24210422458782,1919608,109928
1693.05471876443,1.24180310014151,1880166,107744
1696.63263605598,1.24372585405373,1849632,105526
1701.39558056462,1.24527950081282,1806972,102724
1704.96208003602,1.24653477340889,1777925,100781
1708.52368615592,1.24797775605267,1750849,98917
1713.26488243569,1.24873452026953,1712997,96610
1716.81507073543,1.25311051437718,1686177,94144
1721.54104325499,1.25766780246785,1644851,90878
1725.07981373458,1.2616699406058,1614137,88363
1729.79056249392,1.26587923985091,1575408,85411
1733.31791515335,1.26993838654706,1544829,82974
1738.01344015249,1.27006515938869,1505295,80827
1741.52937499176,1.27077383184288,1476601,79157
1746.20967623068,1.27661565405654,1442165,76278
1749.7141932498,1.28183780542972,1420479,74233
1753.21381691742,1.29360887366224,1395391,70972
1757.87236992747,1.29441502893825,1361405,69115
1761.36057577493,1.30691950817964,1335752,65888
1766.00390502477,1.31550454661252,1300138,62876
1769.48069305208,1.31762778869156,1274884,61354
1774.10879854171,1.32386674577371,1241875,58913
1777.57416874885,1.33129439467507,1217880,56795
1782.18705047828,1.33018968748654,1187344,55512
1785.64100286526,1.33324704690677,1166330,54147
1789.09006190076,1.33697090095094,1144763,52692
1793.68119540131,1.34063759042474,1115864,50930
1797.11883661664,1.33726030316178,1092263,50242
1801.69474635698,1.3355576733279,1063086,49092
1805.12096975216,1.33341052073581,1042156,48364
1809.68165573229,1.33284370720394,1013208,47082
